grown						- виріс
growm up					- дорослий
assistive					- допоміжний
disabilities				- обмежані можливості
lot				    		- багато
loss						- втрата
hardly						- наврядчи
aloud						- в голос
allows						- дозволяє
artificial	[ärdəˈfiSHəl]	- штучний
environment					- середовище/навголишнє середовище
cell 						- клітина/осередок/камера
compus						- з'єднання
foe			    			- ворог/противний/недруг
society						- суспільства
dependens					- залежний
breaks down					- ламатись/розбивається/руйнується
broken 						- зламаний
useful 						- здібний/корисний 
waste						- відходи
don't waste my time         - не марнуй мого часу
biodegradable				- біологічний розклад
privacy						- конфіденційність
unwanted					- небажаний
publisher					- видавець
charts						- діаграма
often						- часто
seccessful					- успішний
especially					- особливо
strugglin					- боротися
recycled					- перероблений
throuwn 					- кинутий
trown away                  - викинути
responsible					- відповідальний
health problems 			- проблеми зі здоровям
health						- здоровя
addiction 					- залежність/згубна звичка/зловживання
inappopriate				- недоречний/неналежний/невідповідний
excessive					- надзвичайний/зайвий/збитний
committed					- скоений
citizen						- громадянин
unauthorized				- недозволений/несанкціонований
design						- дизайн
retouch						- ретушувати
decision                    - рішення
opposite					- протилежність
immerse		[амморс]		- занурювати
refer to					- відносяться до
refer                       - звертатися/посилатися
are down					- не працють
scrap						- мізерна кількість/уривок/брухт
obsolete	[абсоліт]		- застарілий
offer						- підтвердженя
psychologist  [сайколіджист]- психолог
things						- речі
take off					- відгул
sick leave					- лікарняний
make a profit				- отримати прибуток
get a promotion				- отримати підвищення
wages			[вейджес]	- заробітна плата
get fired					- звільнитися
day off						- вихідний
in charge       			- відповідальний 
drive somebody mad			- зводити когось з розуму
passion						- пристрасть
work remotely				- працювати віддалено
payroll						- нарахування заробітної плати
deal with somebody			- мати справу
letter of resignation		- лист про звільнення
cutting adge				- ріжуча кромка
retirement					- вихід на пенсію
career ladder	[kəˈrir]		- карєрні сходи
ladder                      - драбина
customer					- клієнт
come up with				- придумувати
carry						- нести/далекобійність/перевезення				 											
harm 						- зло/шкода/лихо
pros	[проус]				- плюси (+++)
cons						- мінуси (---)
debts 						- борги
settle						- розрахування
plants						- рослини
often						- часто
burns down					- згорає
burns						- опіки
if i were you 				- на твоєму місці
otherwise					- інакше/по-іншому
otherways					- іншим способом
melt						- розплавити
i will ski					- я буду кататися на лижах
arrow                       - cтрілка
array                       - масив/безліч/військо
provide                     - забезпечити
encouragement               - заохочення
rewarding                   - нагородження
сertainly                   - звістно
certain                     - певний
retrieving                  - отримання
suggestions                 - пропозиція
accordingly                 - відповідно
confusing                   - заплутаний
owner			            - власник
own                         - власний/свій/сам/володіти/мати
similar			            - подібний/схожий/аналогічний
provides		            - забезпечує
solved 			    	    - вирішити
engage				        - займатися
pairs				        - пари
casual				        - випадковий
casual comments			    - в усній формі
prefer 				        - віддають перевагу
raise 				        - підняти/підвищити/збирати (підняти тест)
appears				        - з'явявляється (повідомлення)
disappear                   - зникати/пропадає/знищується
minor 				        - другорядний
minor issue			        - незначна проблема
prediction					- передбачення
promices					- обіцянки
threats						- погрози
warnings					- попередження
wedding						- весілля
repaired					- ремонтувати
dare						- наважитись
entertainment				- розваги
define 						- визначити
property					- власність
margin						- запас
padding 					- оббивка
fallen						- впав
affects                     - впливає
underneath                  - внизу
below                       - нижче
describ                     - описати
voice-recognition system    - система розпізнавання голосу
dictate                     - диктувати
directly                    - безпосередньо
instead         [inˈsted]   - замість 
sketches                    - ескіз
drawings                    - малюнки
upside                      - догори
terms                       - умови
upper-case                  - верхній регістр (CAPS LOCK)
rapidly       [ˈrapədlē]    - швидко
particular things 		    - конкретні речі
desired                     - бажане/потрібний/необхідний
on my opinnions             - на мою думку
even                        - навіть
stripes                     - смуги
measure                     - вимірювати/показник/міра
can deal		            - може мати справу
mighty			[ˈmīdē]     - могутні
accept			            - прийняття
typical	           	        - типовий
consist			            - складається
being 			[ˈbēiNG]    - буття
accses			            - доступ
peripherals		            - перифирійні пристрої
attached		[əˈtaCHt]   - додається
includa 		[інклудаа]  - включає/включаючи
let			                - дозволяє
permently		            - постійно
plug			            - вилка/пробка/затичка
external 		            - зовнішній
between 		            - між
essential		            - істинний/суттєвий/неодмінний
vivid			            - яскравий
sharp			            - різкий/дотепний
impressive		            - вражає/показний/виразний
difinition 		            - визначення
distinc			            - відмінний
hear			            - чути
heard			            - почутий
amounts			            - суми/обсяг/кількість/становить
simultaneaus [ˌsīməlˈtānēəs] - одночасний/спільний
purpose		    [ˈpərpəs]   - ціль/мета/задачі
lightweight		            - легкий
easily			            - легко
capacit			            - місткість/ємкість 
pad			                - каолодка/щиток/підкладка
connectivity 	            - підключення 
outlets			            - розетка 
variables		            - змінна
separation		            - розділення
equal			            - рівний/однаковий
multiplication	            - множення
tuples			            - кортежі
abroad			            - за границею/поза домівкою/не вдома/всюди
intersection 	            - перетин/схрещення/роздоріжжя
union 			            - спілка/союзник
unated 			            - обєднані/єдиний/дружні
dimly-lit                   - тьмяно освітлений
accompany   [əˈkəmp(ə)nē]   - супроводжувати
bundled                     - в комплекті
familiar                    - звичний/знайомий/відомий/близький
concise     [kənˈsīs]       - лаконічно/коротко
neat                        - акуратний
participating               - брати участь
simplify     [ˈsimpləˌfī]    - спрощувати
lend                        - позичати
expensive                   - дорога (річ)
belongs                     - належить
warm                        - теплий
rid                         - позбутися
spread                      - поширення
conspiracy  [kənˈspirəsē]   - змова
theories                    - теорії
rise                        - підніматися/зрости/підйом
purchase  [ˈpərCHəs]        - покупка
comprehension               - розуміння
whole                       - цілий/весь/повний
aims                        - прагне/цілі/мета/спрямований
opportunity                 - можливість/шанс/нагода
concerns                    - стосується/проблеми/стурбованість
rejected                    - відхилили/відмовили
avoid                       - уникати
void                        - порожнеча/пустота
pass                        - пройти/передати/пропускати
advice                      - порада/консультація
condition                   - умова/стан
determine  [dəˈtərmən]      - визначити/з'ясувати/вирішити
terminate                   - припиняти
those                       - тих/ті/ці/цих/таким
hyphen                      - "-" тире
fetch                       - отримати/витягнення
exist                       - існують
merge                       - злиття
contribion                  - внесок/вклад/участь/взнос
whatever                    - немає різниці/що завгодно
while 			            - поки (until)
worldwide                   - світовий
possibilities               - можливість/варіанти/шанси
rival                       - суперник/конкурент/змагатися
huge                        - величезний/значний/колосальний
unleash    [ˌənˈlēSH]        - дати волю/розв'язати/розкрити
enrich                      - збагатити/розширити/поповнити
increase                    - збільшити/зростати/ріст
extension[ikˈsten(t)SH(ə)n] - розширення/поширення/збільшення
improve                     - покращити/підвищити/удосконалити
let loose                   - відпускати на волю
appropriate                 - відповідний/доречний/належний
responsive                  - чутливий/адаптивний
substitute                  - замінити/підставити/змінити
suited           [so͞odəd]   - підходили/підійде/придатні
excited                     - вражений/взахваті/радий
ability                     - здатність/вміння
spokesperson                - представник/речник/співрозмовник
specify                     - вказати/уточнити/визначити/задати
approach                    - підхід/метод/звертатися/наближення
unique                      - унікальний/єдиний/особливий/неповторні
performs                    - виконує/здійснює/виступає/працює
resume    				    - відновити/відбудувати/повернути (/retrieve/restore)
belongs                     - належить/входить/займає
instance                    - випадок/зразок/подія
inherited   [inˈherədəd]    - спадок/успадкував
intercept                   - перехопити/перехоплення
combine                     - поєднувати/об'єднати
necessary                   - необхідно/вимагається/неминучий
require                     - вимагати/просити/необхідно/потрібне
establish                   - встановити/створювати/відкрити
means                       - означає/спосіб
properly                    - правильно/належним чином
rather          [ˈraT͟Hər]   - досить/швидше/радче/навпаки
meant             [меент]   - означало/мав на увазі/хотів
tear down                   - зруйнувати/знести/зламайте
achieving      [ечівін]     - досягнення/здобуття
intended                    - призначений/мав намір
malfunctioning[малфанкшєні] - несправність/збої
wrap             [rap]      - загорнути/обмотати/обгортка
execution                   - виконання/оформлення/страта
sequence   [ˈsēkwəns]       - послідовність/порядок
efficient   [əˈfiSHənt]     - ефективно/якісний/дієвий
iterates       [ітерейтс]   - повторює
obtain                      - отримати/здобути/знайти/набути
spawn           [spaan]     - продовжувати/породити 
interact                    - взаємодія/спілкуватися
reflect                     - відображати/міркувати/подумати
entire    [ənˈtī(ə)r]       - цілий/повний/вся/всю
drags                       - перетягує/зятягує/тягне
approximate                 - приблизний/орієнтовний/наближений
confidence                  - впевненість/надія/віра/конфіденційність
behavior                    - поведінка/ставлення/дії/вчинок
sequentially [səˈkwen(t)SHəlē]- послідовно
schedule   [ˈskejəl]        - графік/план/програма/режим
adjust                      - налаштувати/регулювати/адаптуватися
parsed                      - аналізувати/оброблений
expire                      - закінчився/спливає/термін дії/втрачають силу
submit                      - подавати/надати/відправити/коритись/додати
completion    [комплішін]   - завершення/заповнення/виконання
decline      [деклайн]      - зниження/спад/погіршення/занепад
maintainability             - ремонтопридатнічть
consider                    - вважати/розглядати/врахувати
find out                    - дізнатися/з'ясувати/знайти/розібратися
spead out                   - розкласти/поширені/розкладені
capabilities                - можливості/потужності/здібності
conveniently [канвінентлі]   - зручно/легко/вдало
deprecated                  - застарілий/непідтримуваний
narrow                      - вузький/тісний/звузити/зменшити
density                     - щільність/густина
reach                       - досягти/досягати/вийти/охопити
employers                   - роботодавці
evolve                      - розвиватися/еволюціонувати
suggest       [sə(ɡ)ˈjest]  - пропонувати/рекомендувати/вважати/порадити
make sure                   - перевірити/простежити/подбати/не забудьте
attractive                  - приваблевий/цікавий
competitive   [kəmˈpedədiv] - конкурентний/конукурентно спроможний
labor market                - ринок праці
article                     - стаття/текст/виріб
follow                      - слідувати/дотримуватись/стежити за/виконати/наслідувати
